section,baseline_rougeL,structure_rougeL,delta_rougeL,baseline_semantic,structure_semantic,delta_semantic,baseline_factual,structure_factual,delta_factual
Task speciﬁc model details,0.0839,0.0546,-0.0293,0.2401,0.2778,0.037699999999999984,0.1898,0.1637,-0.026099999999999984
Autoregressive Language Modeling,0.1087,0.125,0.016299999999999995,0.314,0.345,0.030999999999999972,0.1652,0.304,0.13879999999999998
Abstract,0.3491,0.3119,-0.03720000000000001,0.5868,0.6028,0.016000000000000014,0.3463,0.3307,-0.015600000000000003
Results (2),0.183,0.1089,-0.0741,0.486,0.4271,-0.05890000000000001,0.3309,0.2545,-0.07640000000000002
Introduction,0.1313,0.1122,-0.019100000000000006,0.5279,0.3899,-0.138,0.3749,0.2773,-0.09760000000000002
Results,0.2323,0.1129,-0.1194,0.446,0.2763,-0.16970000000000002,0.1365,0.0,-0.1365
