system,delta_vs_baseline_rouge1_f1,delta_vs_baseline_rouge2_f1,delta_vs_baseline_rougeL_f1,delta_vs_baseline_semantic_f1_proxy,delta_vs_baseline_factual_score,delta_vs_baseline_section_coverage,delta_vs_baseline_graph_coherence,delta_vs_baseline_structure_signal,delta_vs_baseline_phase2_media_score,delta_vs_baseline_composite_novelty_score
Baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
StructureAware,0.0068999999999999895,0.04739999999999999,0.008499999999999994,0.11179999999999995,0.17869999999999997,0.20000000000000007,0.1663,0.1663,0.0,0.12946499999999989
FactChecked,0.0068999999999999895,0.04739999999999999,0.008499999999999994,0.11179999999999995,0.17869999999999997,0.20000000000000007,0.1663,0.1663,0.0,0.12946499999999989
FinalProposed,0.0068999999999999895,0.04739999999999999,0.008499999999999994,0.11179999999999995,0.17869999999999997,0.20000000000000007,0.1663,0.1663,0.4875,0.15383999999999987
